ObjectID,GlobalID,Informed Consent,start_time,end_time,What gender do you identify as?,Which category below includes your age?,How long does a football match take?,Which team won the last FIFA World Cup?,"From the image above, what is the lineup of the teams?",What is the formation of the red team?,"When the blue team has possession of the ball, how would you describe the positioning of the defenders from the red team?",What was the role of player #2 in the red team?,"Ideally, a defender should be positioned between the goal and the attacker. Based on your observations, the player #2 from the red team is:",What is the formation of the red team?,When does a team cover a larger area of the pitch?,In what situations do a team's players get close to each other?,What is the formation of the red team?,When does a team cover a larger area of the pitch?,What is the formation of the red team?,"When the blue team has possession of the ball, how would you describe the positioning of the defenders from the red team?",What was the role of player #2 in the red team?,"Ideally, a defender should be positioned between the goal and the attacker. Based on your observations, the player #2 from the red team is:",What is the formation of the red team?,When does a team cover a larger area of the pitch?,In what situations do a team's players get close to each other?,What is the formation of the red team?,When does a team cover a larger area of the pitch?,CreationDate,Creator,EditDate,Editor,x,y
1,a9852286-fe68-4dc4-8b38-5ce75b10f8d9,Yes,7/28/2023 9:17:17 AM,7/28/2023 9:23:00 AM,Male,36-40,g1_a,g2_b,g3_a,b,c,a,a,c,b,b,a,a,b,a,a,a,d,c,c,d,c,7/28/2023 9:23:01 AM,,7/28/2023 9:23:01 AM,,0,0
2,773ff80f-1d0c-41a8-88f8-87ca7fedcd83,Yes,7/28/2023 9:22:42 AM,7/28/2023 9:38:40 AM,Female,18-20,g1_a,g2_b,g3_c,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/28/2023 9:38:41 AM,,7/28/2023 9:38:41 AM,,0,0
3,6887c72b-af62-4e7c-819f-56ba0f1e1e0a,Yes,7/28/2023 9:33:59 AM,7/28/2023 9:39:26 AM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,b,a,a,b,a,a,a,c,b,b,a,a,7/28/2023 9:39:27 AM,,7/28/2023 9:39:27 AM,,0,0
4,786b1e44-fba2-471b-8353-2181ef0b06af,Yes,7/28/2023 9:30:41 AM,7/28/2023 9:39:58 AM,Male,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,a,a,a,a,7/28/2023 9:39:59 AM,,7/28/2023 9:39:59 AM,,0,0
5,00c39acf-57ba-4e9e-8f8c-924881e99e2f,Yes,7/28/2023 9:18:52 AM,7/28/2023 9:42:36 AM,Male,18-20,g1_a,g2_a,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,b,a,a,7/28/2023 9:42:36 AM,,7/28/2023 9:42:36 AM,,0,0
6,b80fe36c-a0c8-4802-8214-66d9c29f438c,Yes,7/28/2023 9:46:35 AM,7/28/2023 9:56:13 AM,Female,21-25,g1_a,g2_b,g3_a,b,d,a,d,c,b,a,a,a,b,b,a,d,c,b,a,d,a,7/28/2023 9:56:14 AM,,7/28/2023 9:56:14 AM,,0,0
7,9b38d517-35e3-4d8c-867c-8031b611ac6b,Yes,7/28/2023 9:55:24 AM,7/28/2023 10:02:07 AM,Female,21-25,g1_a,g2_b,g3_c,d,c,a,a,d,b,a,d,a,d,c,a,a,d,b,a,d,a,7/28/2023 10:02:07 AM,,7/28/2023 10:02:07 AM,,0,0
8,ed9ea22f-0910-47e2-82e6-a0ac4eef51ea,Yes,7/28/2023 10:25:33 AM,7/28/2023 11:05:52 AM,Female,31-35,g1_c,g2_c,g3_c,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,b,b,a,7/28/2023 11:05:52 AM,,7/28/2023 11:05:52 AM,,0,0
9,c8d7b079-fc18-43a1-8a2d-28dd2e28f710,Yes,7/28/2023 11:10:23 AM,7/28/2023 11:14:55 AM,Male,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/28/2023 11:14:57 AM,,7/28/2023 11:14:57 AM,,0,0
10,ea554ade-f148-477d-8bbe-786e3c1312ee,Yes,7/28/2023 12:26:50 PM,7/28/2023 12:46:41 PM,Female,21-25,g1_a,g2_b,g3_a,a,a,a,a,d,b,a,c,a,c,a,a,a,c,b,a,a,a,7/28/2023 12:46:42 PM,,7/28/2023 12:46:42 PM,,0,0
11,65e5211e-2990-4946-8593-c53334d22791,Yes,7/28/2023 12:54:11 PM,7/28/2023 12:55:53 PM,Male,21-25,g1_a,g2_a,g3_c,d,d,b,d,c,a,b,a,b,d,d,d,d,d,c,c,d,c,7/28/2023 12:55:54 PM,,7/28/2023 12:55:54 PM,,0,0
12,7c241b9d-abcb-4ded-84fd-b001c962e4de,Yes,7/28/2023 12:55:50 PM,7/28/2023 12:57:43 PM,Female,18-20,g1_b,g2_b,g3_c,a,d,d,d,d,c,c,d,b,d,d,d,d,d,c,c,d,c,7/28/2023 12:57:44 PM,,7/28/2023 12:57:44 PM,,0,0
13,8d4f6f39-6431-4809-8b23-db84017f3c9c,Yes,7/28/2023 12:55:55 PM,7/28/2023 1:06:21 PM,Male,26-30,g1_a,g2_b,g3_a,b,d,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/28/2023 1:06:22 PM,,7/28/2023 1:06:22 PM,,0,0
14,9b9266f2-6005-4478-8e6d-0d75e317d2f8,Yes,7/28/2023 1:12:57 PM,7/28/2023 1:18:54 PM,Female,18-20,g1_a,g2_b,g3_a,b,c,a,b,c,b,b,a,a,b,a,c,b,c,a,a,c,b,7/28/2023 1:18:55 PM,,7/28/2023 1:18:55 PM,,0,0
15,e4ab5bd0-7591-474b-879a-a2c2a62eb6bc,Yes,7/28/2023 2:01:56 PM,7/28/2023 2:12:04 PM,Female,26-30,g1_a,g2_b,g3_a,a,a,a,a,c,b,b,a,a,b,c,a,b,a,b,b,c,a,7/28/2023 2:12:05 PM,,7/28/2023 2:12:05 PM,,0,0
16,9ec07c54-4192-4ed9-8c33-49376041347e,Yes,7/28/2023 3:15:51 PM,7/28/2023 3:26:58 PM,Female,21-25,g1_a,g2_b,g3_c,a,a,a,a,b,b,a,c,a,c,a,a,a,b,b,a,c,a,7/28/2023 3:26:59 PM,,7/28/2023 3:26:59 PM,,0,0
17,3a9d7e14-96dc-462b-8161-fb7747b39df5,Yes,7/28/2023 3:10:14 PM,7/28/2023 3:49:21 PM,Male,26-30,g1_a,g2_a,g3_c,d,d,b,c,d,b,a,d,a,d,d,b,d,d,b,a,d,a,7/28/2023 3:49:22 PM,,7/28/2023 3:49:22 PM,,0,0
18,19711193-ce93-4522-8909-8e23bb141167,Yes,7/28/2023 4:06:56 PM,7/28/2023 4:16:49 PM,Male,18-20,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/28/2023 4:16:50 PM,,7/28/2023 4:16:50 PM,,0,0
19,19812a23-1a58-4f9a-8f50-d5b986129d1d,Yes,7/28/2023 4:21:27 PM,7/28/2023 4:26:18 PM,Male,21-25,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,b,a,d,d,c,b,b,a,a,7/28/2023 4:26:17 PM,,7/28/2023 4:26:17 PM,,0,0
20,1316b8c1-b11d-414d-879c-098be820547d,Yes,7/28/2023 6:57:47 PM,7/28/2023 7:19:41 PM,Male,21-25,g1_a,g2_b,g3_a,b,c,a,a,c,b,c,a,a,b,c,a,a,c,b,b,a,a,7/28/2023 7:19:44 PM,,7/28/2023 7:19:44 PM,,0,0
21,d4e6eb6d-ef1e-432e-81b5-b126c74d6853,Yes,7/28/2023 7:09:09 PM,7/28/2023 8:05:16 PM,Male,21-25,g1_a,g2_b,g3_a,b,d,a,a,c,c,a,a,a,b,c,a,a,c,b,b,a,a,7/28/2023 8:05:17 PM,,7/28/2023 8:05:17 PM,,0,0
22,e43dbe5b-482d-4271-814a-2f83afdbc8f4,Yes,7/28/2023 9:17:56 PM,7/28/2023 9:30:37 PM,Female,21-25,g1_a,g2_b,g3_c,d,a,a,a,d,b,a,d,a,d,a,a,a,d,b,a,d,a,7/28/2023 9:30:39 PM,,7/28/2023 9:30:39 PM,,0,0
23,b7dcc2e8-0638-44c8-8326-93858f1553f4,Yes,7/29/2023 4:54:29 AM,7/29/2023 5:05:27 AM,Female,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,b,a,a,d,a,d,a,c,c,a,a,a,7/29/2023 5:05:29 AM,,7/29/2023 5:05:29 AM,,0,0
24,f5d270a6-d842-4f54-8c81-fe9330a1da2d,Yes,7/29/2023 5:24:09 AM,7/29/2023 5:32:10 AM,Male,21-25,g1_a,g2_a,g3_a,b,c,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/29/2023 5:32:11 AM,,7/29/2023 5:32:11 AM,,0,0
25,ac18061b-6bb4-4cba-89e2-d9ce7a78024f,Yes,7/29/2023 9:44:36 AM,7/29/2023 9:54:47 AM,Male,31-35,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/29/2023 9:54:49 AM,,7/29/2023 9:54:49 AM,,0,0
26,219bf7c0-8692-4fe9-8c81-1e570d85fc0f,Yes,7/29/2023 10:04:01 AM,7/29/2023 10:10:24 AM,Male,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/29/2023 10:10:25 AM,,7/29/2023 10:10:25 AM,,0,0
27,bc5c46f9-4dca-40e7-811a-c681fcac3c00,Yes,7/29/2023 12:01:31 PM,7/29/2023 12:08:55 PM,Female,26-30,g1_a,g2_a,g3_a,b,a,a,a,c,b,a,a,b,b,a,a,a,c,b,b,a,a,7/29/2023 12:08:58 PM,,7/29/2023 12:08:58 PM,,0,0
28,16bd8e91-99b1-4fd9-8e44-ec4297adc940,Yes,7/29/2023 12:12:18 PM,7/29/2023 12:21:31 PM,Male,26-30,g1_a,g2_a,g3_a,b,a,a,a,c,b,a,d,a,b,a,a,a,c,b,a,a,a,7/29/2023 12:21:33 PM,,7/29/2023 12:21:33 PM,,0,0
29,f1065795-8db7-4975-8d79-46bca17585b5,Yes,7/29/2023 12:10:08 PM,7/29/2023 12:28:42 PM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/29/2023 12:28:44 PM,,7/29/2023 12:28:44 PM,,0,0
30,47c14586-7522-4cd7-85c8-caf792419cff,Yes,7/29/2023 3:52:33 PM,7/29/2023 3:54:50 PM,Male,21-25,g1_a,g2_b,g3_a,b,b,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,7/29/2023 3:54:52 PM,,7/29/2023 3:54:52 PM,,0,0
31,4af0c471-1114-45c9-8e90-e9402ac9b9f3,Yes,7/29/2023 5:56:11 PM,7/29/2023 5:57:57 PM,Female,18-20,g1_a,g2_b,g3_b,d,c,c,c,c,b,b,c,a,a,a,b,d,b,c,c,a,c,7/29/2023 5:57:58 PM,,7/29/2023 5:57:58 PM,,0,0
32,da8c10bb-dd0b-48c6-8535-2de6ec790432,Yes,7/29/2023 9:10:59 PM,7/29/2023 9:26:10 PM,Male,18-20,g1_a,g2_b,g3_a,b,a,a,a,c,a,a,a,b,b,a,a,a,c,a,a,a,b,7/29/2023 9:26:11 PM,,7/29/2023 9:26:11 PM,,0,0
33,08d98d96-4eba-45b6-8330-660af0bc17fa,Yes,7/30/2023 6:04:41 AM,7/30/2023 6:17:30 AM,Male,31-35,g1_a,g2_b,g3_a,d,c,a,a,c,c,a,a,c,b,c,a,a,c,b,a,a,a,7/30/2023 6:17:33 AM,,7/30/2023 6:17:33 AM,,0,0
34,071f6f20-9d49-42af-8bda-ff9436a41726,Yes,7/30/2023 6:18:15 AM,7/30/2023 6:26:48 AM,Female,26-30,g1_a,g2_b,g3_a,d,a,a,a,c,b,b,a,a,b,a,a,a,c,b,b,a,a,7/30/2023 6:26:50 AM,,7/30/2023 6:26:50 AM,,0,0
35,b623f375-c2c8-4bee-8c72-0bf1b9a781ee,Yes,7/30/2023 9:02:31 AM,7/30/2023 9:14:28 AM,Male,26-30,g1_a,g2_c,g3_c,b,a,a,a,c,b,a,a,a,b,a,a,a,b,b,a,a,a,7/30/2023 9:14:29 AM,,7/30/2023 9:14:29 AM,,0,0
36,18a5ade1-ec5e-40ab-8c8e-d010338d7846,Yes,7/30/2023 8:09:58 AM,7/30/2023 1:40:03 PM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/30/2023 1:40:05 PM,,7/30/2023 1:40:05 PM,,0,0
37,2f37d420-28ef-46ee-8a93-bf9af470ee2c,Yes,7/30/2023 1:58:09 PM,7/30/2023 2:11:00 PM,Female,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/30/2023 2:11:02 PM,,7/30/2023 2:11:02 PM,,0,0
38,7ec667d2-dee9-412e-8fd2-b15fbc515ada,Yes,7/30/2023 2:54:58 PM,7/30/2023 3:07:49 PM,Female,21-25,g1_a,g2_b,g3_a,b,d,a,a,c,b,a,b,a,c,b,a,b,a,b,a,b,a,7/30/2023 3:07:50 PM,,7/30/2023 3:07:50 PM,,0,0
39,5cc99ad1-187d-41e6-84a6-d2ca076504f5,Yes,7/30/2023 5:50:37 PM,7/30/2023 6:06:46 PM,Female,31-35,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,a,c,a,a,c,b,a,a,a,7/30/2023 6:06:47 PM,,7/30/2023 6:06:47 PM,,0,0
40,713f1c5a-e37e-405c-8010-517372e16777,Yes,7/31/2023 10:35:54 AM,7/31/2023 10:46:46 AM,Female,21-25,g1_a,g2_b,g3_a,d,a,a,a,d,b,a,d,a,d,c,a,a,d,b,c,d,b,7/31/2023 10:46:47 AM,,7/31/2023 10:46:47 AM,,0,0
41,ed154092-ac5b-4b8e-8f5a-265c3df167fd,Yes,7/31/2023 10:39:36 AM,7/31/2023 10:55:17 AM,Female,26-30,g1_a,g2_b,g3_c,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/31/2023 10:55:18 AM,,7/31/2023 10:55:18 AM,,0,0
42,adba9359-ac12-4602-82f7-f0e6f4198255,Yes,7/31/2023 11:17:29 AM,7/31/2023 11:26:02 AM,Female,31-35,g1_a,g2_c,g3_a,a,a,a,a,d,c,c,b,a,a,a,a,a,a,b,a,d,a,7/31/2023 11:26:03 AM,,7/31/2023 11:26:03 AM,,0,0
43,7bb80f87-1d1c-4f75-863a-2ed5b6febc5b,Yes,7/31/2023 11:39:50 AM,7/31/2023 11:42:34 AM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,a,a,a,c,b,a,a,a,7/31/2023 11:42:35 AM,,7/31/2023 11:42:35 AM,,0,0
44,1aad0c64-65a6-4e42-8ffb-31d1eaaaeef4,Yes,7/31/2023 7:59:24 PM,7/31/2023 8:13:36 PM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,7/31/2023 8:13:38 PM,,7/31/2023 8:13:38 PM,,0,0
45,fac361d6-a1ba-47c5-8412-3c8584f393be,Yes,8/1/2023 4:56:59 AM,8/1/2023 5:07:54 AM,Male,26-30,g1_a,g2_b,g3_a,b,d,a,c,c,b,a,a,a,b,a,a,c,c,b,a,a,a,8/1/2023 5:07:55 AM,,8/1/2023 5:07:55 AM,,0,0
46,65d8ea3b-5b75-457f-85c8-b8cbfbb982d4,Yes,8/1/2023 8:18:41 AM,8/1/2023 8:34:56 AM,Male,26-30,g1_a,g2_b,g3_a,b,c,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/1/2023 8:34:55 AM,,8/1/2023 8:34:55 AM,,0,0
47,f2c89507-c333-4a3f-82d7-27068eb245fe,Yes,8/1/2023 10:26:01 AM,8/1/2023 10:43:29 AM,Male,26-30,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,b,b,a,a,a,c,a,b,a,a,8/1/2023 10:43:31 AM,,8/1/2023 10:43:31 AM,,0,0
48,2af282df-78dd-4178-8edc-16e3aa6b897e,Yes,8/1/2023 11:56:21 AM,8/1/2023 12:20:46 PM,Male,26-30,g1_a,g2_b,g3_a,a,c,a,a,c,a,a,c,a,a,a,c,a,c,b,a,a,a,8/1/2023 12:20:47 PM,,8/1/2023 12:20:47 PM,,0,0
49,0e8b319a-91eb-4e88-88b5-01cf08df37c3,Yes,8/2/2023 9:45:42 AM,8/2/2023 9:57:13 AM,Male,21-25,g1_a,g2_b,g3_c,a,a,a,a,d,a,a,a,a,d,a,a,a,c,b,a,a,a,8/2/2023 9:57:13 AM,,8/2/2023 9:57:13 AM,,0,0
50,b63f6f69-58c8-43bb-8ffd-e486b8fa3275,Yes,8/2/2023 3:12:37 PM,8/2/2023 3:21:15 PM,Female,21-25,g1_a,g2_b,g3_a,b,a,a,a,c,b,a,a,a,b,c,a,a,c,b,a,a,a,8/2/2023 3:21:16 PM,,8/2/2023 3:21:16 PM,,0,0
